今日(2023-07-05)数据库强赎信息简报：
共有70支转债近日满足过强赎条件。
113025.SH 明泰转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
123181.SZ 亚康转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：21/30。
128082.SZ 华锋转债 今日是否满足条件：1, 最近15日满足条件计数：14/15, 最近30日满足条件计数：19/30。
113598.SH 法兰转债 今日是否满足条件：1, 最近15日满足条件计数：8/15, 最近30日满足条件计数：18/30。
123075.SZ 贝斯转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：17/30。
123067.SZ 斯莱转债 今日是否满足条件：1, 最近15日满足条件计数：12/15, 最近30日满足条件计数：16/30。
110058.SH 永鼎转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：16/30。
123150.SZ 九强转债 今日是否满足条件：1, 最近15日满足条件计数：5/15, 最近30日满足条件计数：15/30。
110091.SH 合力转债 今日是否满足条件：1, 最近15日满足条件计数：13/15, 最近30日满足条件计数：13/30。
127036.SZ 三花转债 今日是否满足条件：1, 最近15日满足条件计数：13/15, 最近30日满足条件计数：13/30。
113664.SH 大元转债 今日是否满足条件：1, 最近15日满足条件计数：8/15, 最近30日满足条件计数：10/30。
113594.SH 淳中转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：10/30。
113027.SH 华钰转债 今日是否满足条件：0, 最近15日满足条件计数：2/15, 最近30日满足条件计数：9/30。
128079.SZ 英联转债 今日是否满足条件：1, 最近15日满足条件计数：9/15, 最近30日满足条件计数：9/30。
113648.SH 巨星转债 今日是否满足条件：0, 最近15日满足条件计数：8/15, 最近30日满足条件计数：9/30。
113588.SH 润达转债 今日是否满足条件：1, 最近15日满足条件计数：9/15, 最近30日满足条件计数：9/30。
123112.SZ 万讯转债 今日是否满足条件：1, 最近15日满足条件计数：7/15, 最近30日满足条件计数：7/30。
110052.SH 贵广转债 今日是否满足条件：0, 最近15日满足条件计数：6/15, 最近30日满足条件计数：6/30。
123156.SZ 博汇转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：5/30。
123012.SZ 万顺转债 今日是否满足条件：1, 最近15日满足条件计数：5/15, 最近30日满足条件计数：5/30。
123034.SZ 通光转债 今日是否满足条件：0, 最近15日满足条件计数：5/15, 最近30日满足条件计数：5/30。
123050.SZ 聚飞转债 今日是否满足条件：0, 最近15日满足条件计数：4/15, 最近30日满足条件计数：4/30。
123085.SZ 万顺转2 今日是否满足条件：1, 最近15日满足条件计数：3/15, 最近30日满足条件计数：3/30。
110084.SH 贵燃转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：3/30。
123177.SZ 测绘转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：3/30。
110060.SH 天路转债 今日是否满足条件：0, 最近15日满足条件计数：2/15, 最近30日满足条件计数：2/30。
127064.SZ 杭氧转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
127063.SZ 贵轮转债 今日是否满足条件：1, 最近15日满足条件计数：2/15, 最近30日满足条件计数：2/30。
127028.SZ 英特转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
123140.SZ 天地转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：2/30。
113663.SH 新化转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：1/30。
113646.SH 永吉转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
123162.SZ 东杰转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
113628.SH 晨丰转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
111013.SH 新港转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：1/30。
